País,Próximos,Distância
"Tajikistan","Afghanistan",633.5896
"Tajikistan","Kazakhstan",1077.4988
"Tajikistan","Kyrgyzstan",395.01608
"Tajikistan","Pakistan",959.5279
"Tajikistan","Uzbekistan",634.0533
